33,PORTFOLIO,,,,,,,,,,,,,,,,,,,,Actualización: ,20/4/2026 10:48:07,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,IOL,IOL,,,,
,,,,,,,Total Investment,Portfolio Value,Profit (USD),Profit (%),,,,,,,,,,,Dolar MEP,Dolar CCL,,,,
,,,,,,,"USD  5.293,79","USD  5.153,52","-USD  140,27","-2,65%",,,,,,,,,,,"$   1.407,92","$   1.456,33",,,,
,,,,,,,,,,,,,,,,,,,,,"-0,33%","-0,49%",,,,
,CEDEARS,,,,,,,,,,,,,,,,,,,,,,,,,
,RENTA VARIABLE,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Invest / Shares,Invest / Shares,Trades Act.,Trades Act.+MEP,IOL,Cedear/MEP,IOL,,Cedear,Cedear,,,,Capital / Invest,,,CCL Cedear/CCL,,,,
,Location,Industry,Company,Ticker,Cedears,PPC Cedear,PPC USD,Invest ($),Invest (USD),Cedear Price,Price USD,Cedear Chg.,TDY Chg. USD,Portf. Value ($),Capital (USD),Dif. ($),Dif. (USD),Dif. % ($),Profit USD (%),,Stock Price,TDY USA (%),Dolar CCL Cedear,Spread CCL,% Cartera,
,Estados Unidos,Servicios,CONSTELLATION ENERGY CORP,CEG,25,$   10.835,"USD  7,36",$   270.866,"USD  183,99",$   9.430,"USD  6,70","-1,71%","-1,38%",$   235.750,"USD  167,45",-$   35.116,"-USD  16,55","-12,96%","-8,99%",,"291,62","-1,65%",#N/A,#N/A,"3,25%",
,Estados Unidos,ETF,GLOBAL X COPPER MINERS ETF,COPX,32,$   8.594,"USD  5,80",$   275.000,"USD  185,53",$   9.010,"USD  6,40","-1,04%","-0,71%",$   288.320,"USD  204,78",$   13.320,"USD  19,26","4,84%","10,38%",,"86,57","-0,73%",#N/A,#N/A,"3,97%",
